customer_id,age,employment_years,monthly_income,credit_history_years,num_credit_accounts,num_late_payments,credit_utilization,previous_defaults,loan_amount,loan_term_months,debt_to_income_ratio,credit_score,default_flag,payment_to_income_ratio,loan_to_income_ratio,employment_score,credit_quality_score,has_delinquency,flag_high_dti,flag_low_credit,flag_high_util,flag_recent_default,flag_unstable_employment,total_risk_flags,affordability_score,woe_credit_score,emp_fulltime,emp_selfemployed,emp_unemployed,edu_bachelors,edu_masters,edu_doctorate,home_rent,home_mortgage,purpose_debt,purpose_auto,purpose_personal
CUST000001,0.9125725408,-1.263191587,-0.469914278,8,7,-0.406750293,1.8090043126,0,-0.685689661,36,-0.782851264,633,0,-0.686588708,-0.788968395,-1.110743504,-0.030423417,0,1,0,0,0,1,2,-0.041051605,-0.436358206,1,0,0,0,0,0,0,1,0,0,0
CUST000002,1.1650862555,-0.033820256,-0.91544528,5,6,1.6997247144,-1.446644567,1,-0.620430722,48,-0.696078874,584,1,-0.330224755,0.0222838859,-0.704084747,-2.609609593,1,1,1,0,1,0,3,-0.177483124,-0.436358206,0,0,0,1,0,0,0,0,0,0,0
CUST000003,0.4917163495,-0.73631816,1.1339973307,2,1,-0.406750293,0.9120793675,0,2.3977952289,48,0.249480727,614,0,0.7420485643,1.5436280444,-0.704084747,-0.170837564,0,1,1,0,0,0,2,-0.441136992,-0.436358206,0,1,0,1,0,0,1,0,0,0,0
CUST000005,-0.939194701,-0.560693684,1.1339973307,8,2,-0.406750293,-0.452775348,0,1.9409826526,36,0.8892339466,729,0,0.8660579296,1.1094505496,-0.371363946,0.6790375366,0,1,0,0,0,0,1,-0.528086006,0.5166569177,1,0,0,0,1,0,0,1,0,0,1
CUST000006,0.5758875877,0.3174286955,-1.405529382,10,5,5.2105163937,-0.303776921,0,-1.109872768,24,-1.092236095,532,0,-0.850117835,-1.285171246,-0.186519056,-3.732922769,1,0,1,0,0,0,1,0.1723472216,-0.974367113,0,0,0,0,0,0,0,1,1,0,0
CUST000007,0.660058826,1.0199265991,-0.247148776,4,3,0.2954080427,0.6705299446,0,0.6358038632,48,0.7564649206,663,0,0.7646687729,1.4858316896,0.7746743695,-0.178227782,1,1,0,0,0,0,1,-0.511945611,0.159288511,0,1,0,0,0,0,0,1,0,0,0
CUST000008,0.7442300642,0.3174286955,0.599360128,9,3,-0.406750293,-0.406389495,0,-0.261506555,24,-0.591839982,767,0,-0.349889888,-0.783515616,0.5528605021,0.9598658308,0,1,0,0,0,0,1,-0.199823948,0.4760661638,1,0,0,1,0,0,0,1,0,1,0
CUST000010,-0.51833851,-0.73631816,-0.247148776,7,5,-0.406750293,-0.990678047,0,-0.767263335,48,-1.14399652,737,0,-1.181747296,-1.100437717,-0.556208835,0.7381592828,0,0,0,0,0,0,0,0.6442640493,0.5166569177,1,0,0,0,0,0,0,1,0,0,0
CUST000012,1.5859424468,-0.73631816,0.421147727,1,2,1.6997247144,0.6390727229,0,1.3047079928,36,1.4975115249,507,0,1.3748029331,1.2903578391,-0.704084747,-2.070123659,1,1,1,0,0,0,2,-0.586411716,-0.974367113,0,1,0,1,0,0,0,0,0,0,1
CUST000013,-0.097482318,1.1955510749,-0.648126679,4,4,-0.406750293,1.4060622196,0,-0.832522275,48,-1.003654462,670,0,-1.040856686,-0.983905229,-0.186519056,0.2430146588,0,0,0,0,0,0,0,0.3195958325,0.159288511,0,0,0,0,0,1,0,1,0,0,0
CUST000015,-0.349996033,0.8443021232,0.7775725289,2,2,-0.406750293,-0.329047397,0,0.0647881428,24,-0.064426995,685,0,-0.002814826,-0.505423908,1.1073951707,0.3538679328,0,1,0,0,0,0,1,-0.363552618,0.159288511,1,0,0,0,1,0,1,0,0,0,1
CUST000016,-0.686680986,-1.263191587,-1.049104581,5,4,-0.406750293,-0.150720822,0,-0.81620754,24,-0.098247028,687,0,0.1396195775,-0.396731855,-1.110743504,0.3686483694,0,1,0,0,0,1,2,-0.365764253,0.159288511,1,0,0,0,0,0,1,0,0,0,0
CUST000017,-0.01331108,0.3174286955,-0.648126679,2,1,-0.406750293,0.4270615655,0,-0.000470797,48,1.0782875607,685,0,0.3988365402,1.1249568887,0.5528605021,0.3538679328,0,1,0,0,0,0,1,-0.571649898,0.159288511,1,0,0,0,0,0,0,1,1,0,0
CUST000018,0.8284013025,0.4930531714,-0.514467378,5,3,-0.406750293,-0.72271198,0,-0.196247615,48,0.0071147771,721,0,-0.216352392,0.3530857867,0.7377053916,0.6199157905,0,1,0,0,0,0,1,-0.364278395,0.5166569177,1,0,0,0,0,0,0,0,0,0,1
CUST000019,1.1650862555,1.3711755508,-1.405529382,4,1,-0.406750293,-0.258204558,0,-0.799892805,36,1.399354728,703,1,1.1414486606,1.4085013751,-0.704084747,0.4868918616,0,1,0,0,0,0,1,-0.584064413,0.5166569177,0,0,1,0,0,1,1,0,0,0,0
CUST000020,-1.107537177,-0.209444732,-0.87089218,3,1,-0.406750293,1.4462788097,0,-0.767263335,48,-0.450558886,631,0,-0.721307233,-0.546463242,-0.519239857,-0.045203854,0,1,0,0,0,0,1,-0.143785775,-0.436358206,0,0,0,1,0,0,0,0,0,0,1
CUST000021,1.4175999703,-0.911942636,1.2676566314,5,3,3.1040413861,-0.802600629,0,-0.718319131,36,-0.896536772,535,1,-1.266627323,-1.437523507,-0.741053725,-2.602219374,1,1,1,0,0,0,2,0.6711499493,-0.974367113,1,0,0,0,1,0,0,0,0,0,0
CUST000022,0.8284013025,2.0736734543,2.0250593354,4,3,-0.406750293,1.1346643786,0,3.3929940558,36,1.0647275938,659,0,1.3235046038,1.4557587895,2.4013093976,0.1617222579,0,1,0,0,0,0,1,-0.539400357,0.159288511,1,0,0,1,0,0,1,0,0,0,0
CUST000023,1.0809150173,-0.209444732,1.6686345335,12,3,-0.406750293,-0.189125509,0,0.048473408,48,-0.964443318,758,0,-1.00947061,-0.872912486,-0.001674167,0.8933538664,0,1,0,0,0,0,1,0.2620150925,0.4760661638,1,0,0,0,1,0,1,0,0,0,1
CUST000024,-1.107537177,-1.263191587,-0.781785979,2,1,-0.406750293,1.9914470938,0,-0.294136024,36,0.6344046662,599,1,0.7074507017,0.699640159,-1.110743504,-0.281690838,0,1,1,0,0,1,3,-0.495515897,-0.436358206,1,0,0,0,0,0,1,0,0,1,0
CUST000025,-0.51833851,-0.560693684,0.3765946268,4,4,-0.406750293,1.1384394016,0,0.293194431,48,-0.504230901,627,1,-0.307298804,0.0480911263,-0.556208835,-0.074764727,0,1,0,0,0,0,1,-0.2300839,-0.436358206,0,1,0,0,0,0,0,0,0,1,0
CUST000026,0.660058826,1.5468000267,-0.336254977,2,3,-0.406750293,-1.480440961,0,0.5542301889,48,0.5803750688,758,0,0.4903524848,1.541127022,0.58982948,0.8933538664,0,1,0,0,0,0,1,-0.489392876,0.4760661638,0,0,0,0,1,0,1,0,0,0,0
CUST000027,-1.780907084,-0.911942636,0.9112318296,3,3,0.2954080427,-0.489132294,0,0.1137323474,48,-0.435819329,635,0,-0.750922503,-0.523445804,-0.741053725,-0.385153894,1,1,0,0,0,0,1,-0.138650357,-0.436358206,1,0,0,1,0,0,0,0,0,0,0
CUST000031,-0.602509748,0.1418042197,-0.737232879,3,4,-0.406750293,-0.686739189,0,-0.21256235,36,0.1633421333,700,0,0.5900716826,0.8091914379,0.3680156125,0.4647212068,0,1,0,0,0,0,1,-0.426146475,0.5166569177,1,0,0,0,0,0,0,0,0,0,0
CUST000033,1.3334287321,1.1955510749,-1.182763881,3,3,-0.406750293,0.1787959196,0,-0.979354889,36,-0.76258257,688,0,-0.802446578,-0.859854516,-0.186519056,0.3760385876,0,1,0,0,0,0,1,0.0084975056,0.159288511,0,0,0,0,0,0,1,0,0,0,1
CUST000035,-0.181653557,1.7224245026,-0.514467378,4,6,0.2954080427,2.0192317289,0,-0.261506555,36,0.0599742666,588,0,0.3040775562,0.2060627197,0.0352948113,-0.732494153,1,1,1,0,0,0,2,-0.401757646,-0.436358206,0,0,0,0,1,0,1,0,0,0,0
CUST000036,-0.01331108,0.8443021232,0.1092760254,8,2,0.2954080427,0.8213650418,0,-0.587801252,48,-1.178796349,642,0,-1.031549534,-0.980879602,1.1073951707,-0.333422366,1,0,0,0,0,0,0,0.4007931786,-0.436358206,1,0,0,0,0,0,1,0,0,0,0
CUST000037,0.3233738729,1.1955510749,-0.247148776,3,4,-0.406750293,-0.424741214,0,0.6358038632,36,1.8852985905,741,0,1.1913957433,1.4858316896,1.4770849498,0.7677201558,0,1,0,0,0,0,1,-0.639632152,0.5166569177,1,0,0,0,0,0,0,0,0,0,1
CUST000038,-0.939194701,-0.385069208,-0.91544528,5,3,-0.406750293,0.7076474971,0,-1.126187502,48,-1.612663784,680,0,-1.555328933,-1.686859268,-0.851960658,0.3169168415,0,0,0,0,0,0,0,5.5877456738,0.159288511,0,0,0,0,0,0,0,1,0,1,0
CUST000039,1.5017712086,-0.209444732,0.0647229252,4,3,-0.406750293,-1.63703604,0,-0.130988676,36,-0.748148831,739,0,-0.367086671,-0.264411095,-0.001674167,0.7529397193,0,1,0,0,0,0,1,-0.155632634,0.5166569177,1,0,0,0,0,0,0,1,0,1,0
CUST000040,-0.265824795,1.5468000267,0.8221256291,3,4,-0.406750293,-0.141288589,0,1.0763017046,24,1.2335955554,658,0,1.3190373172,0.5504062188,1.8467747289,0.1543320396,0,1,0,0,0,0,1,-0.558636235,0.159288511,1,0,0,0,0,1,0,1,1,0,0
CUST000041,-0.181653557,1.5468000267,0.2874884263,9,5,1.6997247144,1.4147414262,0,0.2605649612,36,0.1583395691,578,0,0.2586766949,0.088444266,1.8467747289,-1.545418162,1,1,1,0,0,0,2,-0.41737081,-0.974367113,1,0,0,0,0,0,0,1,0,0,1
CUST000042,0.1550313964,-0.73631816,-0.603573578,5,2,-0.406750293,0.2107192259,0,0.2279354915,36,1.47192698,702,0,1.3221684708,1.5616153978,-0.99983657,0.4795016434,0,1,0,0,0,0,1,-0.585524296,0.5166569177,0,0,0,1,0,0,1,0,0,0,1
CUST000044,-0.51833851,1.0199265991,-0.91544528,7,3,0.9975663786,-0.660141502,0,-0.702004396,36,-0.553920144,653,1,-0.230061338,-0.253384365,0.2571086788,-0.621640879,1,1,0,0,0,0,1,-0.231371499,0.159288511,0,0,0,0,0,0,1,0,1,0,0
CUST000045,1.2492574938,1.1955510749,-0.559020478,4,5,-0.406750293,1.9715176095,0,0.1137323474,36,1.8051901637,669,0,1.1376835161,1.1631263388,0.9225502812,0.2356244405,0,1,0,0,0,0,1,-0.633170517,0.159288511,0,1,0,0,0,0,0,1,0,0,1
CUST000046,2.7643397825,-0.209444732,-0.336254977,2,3,0.2954080427,-0.43102993,0,-0.14730341,48,-0.226051263,622,0,-0.270439756,0.1645642733,-0.260457012,-0.481226731,1,1,0,0,0,0,1,-0.303725902,-0.436358206,0,1,0,0,0,0,0,0,0,0,0
CUST000047,0.3233738729,-1.087567111,0.2874884263,1,7,0.9975663786,0.2648567021,0,0.407397575,24,1.3946800143,629,0,1.1259607263,0.2869254065,-0.925898614,-0.799006117,1,1,0,0,0,0,1,-0.584117659,-0.436358206,1,0,0,1,0,0,0,0,0,0,0
CUST000051,-0.686680986,-0.209444732,0.6439132282,5,1,-0.406750293,0.6558733688,0,0.4726565145,36,-0.132619878,683,1,0.0125713352,0.0389280067,-0.001674167,0.3390874963,0,1,0,0,0,0,1,-0.350823743,0.159288511,1,0,0,0,1,0,1,0,0,1,0
CUST000053,-0.265824795,1.3711755508,-0.648126679,6,3,-0.406750293,-0.62152459,0,-0.930410684,24,-1.174662737,719,0,-0.908596305,-1.232006655,1.6619298394,0.6051353539,0,0,0,0,0,0,0,0.2583300109,0.5166569177,1,0,0,1,0,0,1,0,0,0,1
CUST000055,-2.033420798,-1.438816063,2.2032717363,0,1,0.9975663786,-1.518955393,0,1.1415606441,24,0.6450111165,619,1,0.3358162303,-0.25087829,-1.295588393,-0.8729083,1,1,1,0,0,1,3,-0.501631254,-0.436358206,1,0,0,0,1,0,1,0,0,1,0
CUST000057,0.5758875877,0.1418042197,-0.024383275,5,1,-0.406750293,-0.96748223,0,0.6031743935,36,0.4244383218,747,0,0.7235942028,0.994377191,0.3680156125,0.8120614654,0,1,0,0,0,0,1,-0.465651666,0.5166569177,1,0,0,1,0,0,1,0,0,0,0
CUST000059,-0.939194701,-0.385069208,-1.049104581,4,7,2.4018830503,0.3104387701,0,-0.636745456,36,0.4538327179,564,0,0.4808885886,0.3310323266,-0.186519056,-2.018392131,1,1,1,0,0,0,2,-0.469546487,-0.974367113,1,0,0,0,0,0,0,1,0,0,0
