customer_id,employment_status,education,home_ownership,application_date,age,employment_years,monthly_income,annual_income,num_dependents,credit_history_years,num_credit_accounts,num_late_payments,credit_utilization,previous_defaults,loan_amount,loan_term_months,loan_purpose,interest_rate,monthly_payment,existing_monthly_debt,total_monthly_debt,debt_to_income_ratio,credit_score,default_flag,risk_rating
CUST000001,Full-time,High School,Mortgage,15JAN2025,53,1,2800,33600,1,8,7,0,57.441641021,0,30000,36,Home Improvement,0.1361624615,1019.7462088,422.51310783,1442.2593167,51.509261309,633,0,Poor
CUST000002,Part-time,Bachelors,Own,15SEP2025,56,8,1800,21600,2,5,6,3,5.5936889798,1,34000,48,Home Improvement,0.1183905335,892.66596556,94.934634071,987.60059963,54.866699979,584,1,Very Poor
CUST000003,Self-employed,Bachelors,Rent,08FEB2024,48,4,6400,76800,1,2,1,0,43.157630903,0,219000,48,Other,0.1147364464,5710.6748958,142.30064535,5852.9755412,91.452742831,614,0,Poor
CUST000005,Full-time,Masters,Mortgage,22OCT2024,31,5,6400,76800,3,8,2,0,21.421588581,0,191000,36,Personal,0.0821323829,6004.052464,1433.1558171,7437.2082811,116.20637939,729,0,Good
CUST000006,Retired,High School,Mortgage,23SEP2024,49,10,700,8400,0,10,5,8,23.794468328,0,4000,24,Debt Consolidation,0.2456917025,212.622404,64.14636757,276.76877157,39.538395939,532,0,Very Poor
CUST000007,Self-employed,High School,Mortgage,30DEC2023,50,14,3300,39600,0,4,3,1,39.310826977,0,111000,48,Other,0.1289662405,2972.1600017,693.12415736,3665.2841591,111.06921694,663,0,Fair
CUST000008,Full-time,Bachelors,Mortgage,09JAN2024,51,10,5200,62400,1,9,3,0,22.160308138,0,56000,24,Auto,0.0832404622,2541.0127119,521.78525348,3062.7979654,58.899960872,767,0,Excellent
CUST000010,Full-time,Other,Mortgage,16JUN2025,36,4,3300,39600,0,7,5,0,12.855200017,0,25000,48,Home Improvement,0.0692828,597.82460584,640.85207174,1238.6766776,37.535656896,737,0,Good
CUST000012,Self-employed,Bachelors,Own,31JAN2025,61,4,4800,57600,2,1,2,3,38.809853874,0,152000,36,Personal,0.1682147808,5405.7193895,1301.9035909,6707.6229804,139.74214543,507,0,Very Poor
CUST000013,Part-time,Doctorate,Mortgage,07MAR2024,41,15,2400,28800,1,4,4,0,51.024572386,0,21000,48,Medical,0.1265368586,559.77454424,471.4055846,1031.1801288,42.965838702,670,0,Fair
CUST000015,Full-time,Masters,Rent,25JAN2024,38,13,5600,67200,3,2,2,0,23.392022472,0,76000,24,Personal,0.0850880337,3454.9373595,986.24767416,4441.1850337,79.306875601,685,0,Fair
CUST000016,Full-time,High School,Rent,28SEP2025,34,1,1500,18000,1,5,4,0,26.231968685,0,22000,24,Other,0.089347953,1004.4062816,165.56813994,1169.9744215,77.998294766,687,0,Fair
CUST000017,Full-time,High School,Mortgage,01JUL2024,42,10,2400,28800,0,2,1,0,35.433462645,0,72000,48,Debt Consolidation,0.103150194,1837.01789,1127.4940767,2964.5119667,123.52133195,685,0,Fair
CUST000018,Full-time,High School,Own,26SEP2025,52,11,2700,32400,2,5,3,0,17.12270315,0,60000,48,Personal,0.0756840547,1452.6502834,763.37482333,2216.0251068,82.075003954,721,0,Good
CUST000019,Unemployed,Doctorate,Rent,30APR2025,56,16,700,8400,2,4,1,0,24.520232617,0,23000,36,Other,0.0867803489,727.95225157,223.6572594,951.60951097,135.94421585,703,1,Good
CUST000020,Retired,Bachelors,Own,19DEC2024,29,7,1900,22800,3,3,1,0,51.665043123,0,25000,48,Personal,0.1274975647,667.58650923,555.37654236,1222.9630516,64.366476399,631,0,Poor
CUST000021,Full-time,Masters,Own,27APR2025,59,3,6700,80400,2,5,3,5,15.850433628,0,28000,36,Medical,0.1737756504,1003.5457236,2152.8569326,3156.4026562,47.110487406,535,1,Very Poor
CUST000022,Full-time,Bachelors,Rent,09NOV2024,52,20,8400,100800,1,4,3,0,46.702416415,0,280000,36,Home Improvement,0.1200536246,9300.7239048,1030.9958086,10331.719713,122.99666325,659,0,Fair
CUST000023,Full-time,Masters,Rent,23DEC2024,55,7,7600,91200,2,12,3,0,25.620353474,0,75000,48,Personal,0.0884305302,1860.7939018,1519.9152355,3380.7091373,44.483014965,758,0,Excellent
CUST000024,Full-time,High School,Rent,11NOV2023,29,1,2100,25200,0,2,1,0,60.347140024,0,54000,36,Auto,0.14052071,1846.9579831,386.316488,2233.2744711,106.34640339,599,1,Very Poor
CUST000025,Self-employed,High School,Own,23AUG2025,36,5,4700,56400,1,4,4,0,46.762535679,0,90000,48,Auto,0.1201438035,2370.6806949,556.93864606,2927.6193409,62.289773211,627,1,Poor
CUST000026,Retired,Masters,Rent,16JUN2024,50,17,3100,37200,3,2,3,0,5.0554633078,0,106000,48,Home Improvement,0.057583195,2477.6846873,754.24711059,3231.9317979,104.25586445,758,0,Excellent
CUST000027,Full-time,Bachelors,Own,06JAN2024,21,3,5900,70800,0,3,3,1,20.842584753,0,79000,48,Home Improvement,0.1012638771,2008.4425558,1822.827839,3831.2703948,64.936786353,635,0,Poor
CUST000031,Full-time,High School,Own,18AUG2025,35,9,2200,26400,0,3,4,0,17.695589111,0,59000,36,Medical,0.0765433837,1839.4518421,99.184358446,1938.6362006,88.1198273,700,0,Good
CUST000033,Part-time,High School,Rent,29AUG2024,58,15,1200,14400,3,3,3,0,31.479699271,0,12000,36,Personal,0.0972195489,385.64165022,241.88043696,627.52208718,52.293507265,688,0,Fair
CUST000035,Part-time,Masters,Rent,17AUG2024,40,18,2700,32400,1,4,6,1,60.789625218,0,56000,36,Medical,0.1611844378,1972.0700706,299.17717944,2271.2472501,84.120268522,588,0,Very Poor
CUST000036,Full-time,High School,Rent,19DEC2023,42,13,4100,49200,3,8,2,1,41.712956683,0,36000,48,Home Improvement,0.132569435,970.3871633,513.36861396,1483.7557773,36.189165299,642,0,Poor
CUST000037,Full-time,High School,Own,10DEC2023,46,15,3300,39600,4,3,4,0,21.868047181,0,111000,36,Personal,0.0828020708,3492.7028428,1613.9345428,5106.6373856,154.74658744,741,0,Good
CUST000038,Part-time,High School,Mortgage,05APR2024,31,6,1800,21600,2,5,3,0,39.90194388,0,3000,48,Auto,0.1098529158,77.515141022,271.71653297,349.231674,19.401759666,680,0,Fair
CUST000039,Full-time,High School,Mortgage,08MAY2025,60,7,4000,48000,3,4,3,0,2.561602809,0,64000,36,Auto,0.0538424042,1929.1978977,184.88147725,2114.079375,52.851984374,739,0,Good
CUST000040,Full-time,Doctorate,Mortgage,27JAN2024,39,17,5700,68400,0,3,4,0,26.382182039,0,138000,24,Debt Consolidation,0.0895732731,6301.792874,1081.4503526,7383.2432266,129.53058292,658,0,Fair
CUST000041,Full-time,High School,Mortgage,25SEP2024,40,17,4500,54000,0,9,5,3,51.1627934,0,88000,36,Personal,0.1867441901,3211.2622216,745.41973481,3956.6819564,87.926265699,578,0,Very Poor
CUST000042,Part-time,Bachelors,Rent,06NOV2023,44,4,2500,30000,2,5,2,0,31.988095021,0,86000,36,Personal,0.0979821425,2766.8378318,701.96756859,3468.8054004,138.75221602,702,0,Good
CUST000044,Retired,High School,Rent,13DEC2023,36,14,1800,21600,2,7,3,2,18.119171519,0,29000,36,Debt Consolidation,0.1171787573,959.3119644,127.29715533,1086.6091197,60.367173319,653,1,Fair
CUST000045,Self-employed,High School,Mortgage,03OCT2023,57,15,2600,31200,2,4,5,0,60.029752312,0,79000,36,Personal,0.1400446285,2700.2039915,1242.6178526,3942.8218441,151.646994,669,0,Fair
CUST000046,Self-employed,High School,Own,26DEC2024,75,7,3100,37200,3,2,3,1,21.767896008,0,63000,48,Home Improvement,0.102651844,1605.8779636,658.77224,2264.6502036,73.053232374,622,0,Poor
CUST000047,Full-time,Bachelors,Own,23JAN2025,46,2,4500,54000,3,1,7,2,32.850263324,0,97000,24,Medical,0.139275395,4653.9299258,1455.4203564,6109.3502821,135.7633396,629,0,Poor
CUST000051,Full-time,Masters,Rent,02APR2024,34,7,5300,63600,0,5,1,0,39.077413158,0,101000,36,Auto,0.1086161197,3299.9952718,763.42590346,4063.4211753,76.668324062,683,1,Fair
CUST000053,Full-time,Bachelors,Rent,20DEC2023,39,16,2400,28800,0,6,3,0,18.734166521,0,15000,24,Personal,0.0781012498,677.11113244,195.26738749,872.37851993,36.349104997,719,0,Good
CUST000055,Full-time,Masters,Rent,27MAY2025,18,0,8800,105600,0,0,1,2,4.4421003553,0,142000,24,Auto,0.0966631505,6530.7314179,2863.8663857,9394.5978036,106.75679322,619,1,Poor
CUST000057,Full-time,Bachelors,Rent,08FEB2024,49,9,3800,45600,1,5,1,0,13.224605817,0,109000,36,Other,0.0698369087,3364.7908279,367.65602094,3732.4468488,98.222285495,747,0,Good
CUST000059,Full-time,High School,Mortgage,14NOV2023,31,6,1500,18000,0,4,7,4,33.576182168,0,33000,36,Home Improvement,0.1803642733,1193.6321726,296.76223961,1490.3944122,99.359627481,564,0,Very Poor
CUST000061,Full-time,Bachelors,Own,14APR2024,43,17,3700,44400,2,2,5,1,39.228933818,0,102000,48,Debt Consolidation,0.1288434007,2730.5529076,338.88100143,3069.433909,82.957673217,634,1,Poor
CUST000063,Full-time,Masters,Mortgage,03APR2025,60,12,8100,97200,2,2,4,0,51.465623795,0,143000,36,Home Improvement,0.1271984357,4798.9612562,4171.8469191,8970.8081753,110.75071821,642,0,Poor
CUST000064,Full-time,High School,Mortgage,06MAY2024,39,9,2200,26400,1,5,2,0,25.493725038,0,32000,36,Debt Consolidation,0.0882405876,1014.97314,394.03329699,1409.006437,64.045747138,700,0,Good
CUST000066,Full-time,High School,Own,23NOV2024,49,2,2100,25200,1,4,1,4,43.784055478,0,8000,36,Personal,0.1956760832,295.54907998,545.18120906,840.73028903,40.034775668,520,0,Very Poor
CUST000068,Retired,High School,Rent,12AUG2025,63,3,1000,12000,2,6,2,0,22.279241858,0,26000,48,Debt Consolidation,0.0834188628,638.91678441,126.71066944,765.62745385,76.562745385,685,0,Fair
CUST000069,Full-time,Doctorate,Rent,17NOV2023,29,4,4500,54000,4,6,1,0,18.494426087,0,69000,36,Home Improvement,0.0777416391,2155.027828,983.60816964,3138.6359976,69.747466614,704,0,Good
CUST000070,Full-time,Other,Rent,03APR2025,33,1,2300,27600,5,7,3,8,23.854889854,0,12000,24,Auto,0.2457823348,637.92165849,340.1411189,978.0627774,42.524468582,425,0,Very Poor
CUST000072,Full-time,Masters,Own,06JUN2024,34,0,6100,73200,0,4,2,0,20.280730357,0,170000,48,Debt Consolidation,0.0804210955,4153.5578928,395.33354149,4548.8914343,74.571990726,682,0,Fair
CUST000073,Full-time,Other,Rent,26JAN2025,32,7,2600,31200,2,4,2,0,25.442753361,0,5000,36,Home Improvement,0.08816413,158.57178908,1010.0069246,1168.5787136,44.94533514,700,0,Good
CUST000074,Full-time,High School,Own,06OCT2024,43,5,3400,40800,1,5,4,0,24.605405782,0,115000,36,Other,0.0869081087,3640.4431636,346.08873402,3986.5318976,117.25093817,731,0,Good
CUST000075,Full-time,Bachelors,Rent,05MAY2025,54,8,4700,56400,4,3,2,0,59.825881803,0,96000,48,Home Improvement,0.1397388227,2622.084176,852.91941312,3475.0035891,73.936246577,608,0,Poor
CUST000076,Full-time,Bachelors,Rent,17FEB2025,48,15,3300,39600,0,5,5,0,14.727631579,0,16000,24,Other,0.0720914474,717.87924914,93.156600033,811.03584917,24.576843914,706,0,Good
CUST000077,Full-time,Bachelors,Rent,22JUN2025,42,8,2000,24000,1,10,2,0,12.618069142,0,38000,36,Personal,0.0689271037,1171.4665086,285.89802188,1457.3645304,72.868226522,814,0,Excellent
CUST000078,Self-employed,Bachelors,Mortgage,29JUN2024,42,1,5600,67200,2,3,2,0,29.683452252,0,42000,24,Debt Consolidation,0.0945251784,1927.4911119,371.18905733,2298.6801693,41.047860166,653,0,Fair
CUST000080,Full-time,Masters,Rent,17MAR2024,70,3,9100,109200,1,8,2,0,22.243554261,0,83000,24,Debt Consolidation,0.0833653314,3766.6174683,892.2527778,4658.8702461,51.196376331,755,1,Excellent
CUST000081,Full-time,Masters,Rent,30JAN2024,46,11,5300,63600,1,3,2,0,14.808288574,0,21000,48,Home Improvement,0.0722124329,505.02950587,1688.0473454,2193.0768512,41.378808514,742,0,Good
CUST000082,Full-time,High School,Rent,05FEB2024,33,8,3800,45600,2,8,1,3,9.3378123812,0,115000,36,Home Improvement,0.1240067186,3841.690402,126.78308105,3968.4734831,104.43351271,655,0,Fair
CUST000083,Full-time,Other,Rent,04DEC2024,47,20,2100,25200,1,8,2,0,9.6067910703,0,75000,36,Home Improvement,0.0644101866,2296.6623073,796.93684544,3093.5991527,147.31424537,766,0,Excellent
CUST000084,Full-time,Other,Rent,16NOV2023,59,9,1900,22800,2,4,1,0,14.374486223,0,63000,24,Other,0.0715617293,2825.1349697,617.03586119,3442.1708309,181.16688584,737,0,Good
CUST000086,Retired,Bachelors,Rent,09JAN2025,21,2,2000,24000,3,3,4,0,11.371380279,1,41000,36,Other,0.0670570704,1260.4514992,274.89776215,1535.3492613,76.767463066,568,1,Very Poor
CUST000087,Full-time,High School,Mortgage,14MAR2025,48,17,2600,31200,2,7,2,0,10.030851388,0,6000,36,Debt Consolidation,0.0650462771,183.9066556,389.88616342,573.79281902,22.068954578,725,0,Good
CUST000088,Full-time,Bachelors,Mortgage,25JAN2024,26,4,4400,52800,4,5,3,0,30.872211509,0,117000,36,Personal,0.0963083173,3755.0146861,1655.8197354,5410.8344216,122.97350958,675,0,Fair
CUST000090,Full-time,Bachelors,Mortgage,12OCT2023,54,17,3100,37200,0,3,5,0,27.397952146,0,59000,36,Medical,0.0910969282,1879.1977718,215.90114293,2095.0989147,67.583835959,729,0,Good
CUST000092,Full-time,Bachelors,Own,15JAN2025,43,18,2300,27600,3,6,2,3,16.220113998,0,55000,48,Personal,0.134330171,1487.3601385,410.27048986,1897.6306284,82.505679495,625,0,Poor
CUST000094,Part-time,Bachelors,Own,04JAN2025,52,9,3400,40800,2,6,3,1,40.042009011,0,104000,36,Debt Consolidation,0.1300630135,3504.4866696,389.63362371,3894.1202933,114.5329498,642,0,Poor
CUST000096,Retired,High School,Rent,28DEC2023,58,7,900,10800,3,4,3,0,17.179999682,0,10000,48,Debt Consolidation,0.0757699995,242.14852323,184.90535494,427.05387816,47.450430907,704,0,Good
CUST000097,Full-time,Doctorate,Rent,07MAR2025,18,2,8700,104400,1,0,2,2,30.815894259,0,73000,48,Debt Consolidation,0.1362238414,1981.0324002,2358.1638323,4339.1962325,49.875818764,620,1,Poor
CUST000098,Part-time,Doctorate,Mortgage,12OCT2023,32,6,3100,37200,0,6,1,0,14.148273613,0,102000,24,Home Improvement,0.0712224104,4572.4576858,52.421612647,4624.8792985,149.18965479,757,1,Excellent
