customer_id,num_late_payments,debt_to_income_ratio,credit_score,default_flag,pd_logistic,credit_risk_score,risk_grade,recommendation,interest_rate
CUST000001,1.7303747095,-1.182284774,671,0,0.1242339157,819,A,Approve,5.00%
CUST000002,-0.412314653,0.7784096272,651,1,0.2355163051,791,A,Approve,5.00%
CUST000003,-0.412314653,0.5969132722,721,0,0.1694678919,808,A,Approve,5.00%
CUST000005,0.3019151345,1.3252548799,586,1,0.3453195749,764,A,Approve,5.00%
CUST000006,-0.412314653,-0.598922041,613,1,0.2623840953,784,A,Approve,5.00%
CUST000007,0.3019151345,-0.293550694,688,0,0.2363564799,791,A,Approve,5.00%
CUST000008,-0.412314653,-0.066516303,719,0,0.1705358527,807,A,Approve,5.00%
CUST000010,-0.412314653,-1.340891915,696,0,0.0914867952,827,A,Approve,5.00%
CUST000012,-0.412314653,-0.795574617,644,0,0.2145009292,796,A,Approve,5.00%
CUST000013,3.1588342845,0.9380334868,553,1,0.579005682,705,B,Approve,7.00%
CUST000015,-0.412314653,-0.128600526,763,0,0.1482557579,813,A,Approve,5.00%
CUST000016,1.016144922,0.1989855942,613,0,0.3178438255,771,A,Approve,5.00%
CUST000017,-0.412314653,-0.960697991,735,0,0.1621408581,809,A,Approve,5.00%
CUST000018,3.1588342845,-0.606773329,504,0,0.3972996508,751,A,Approve,5.00%
CUST000019,-0.412314653,0.9760614942,669,0,0.1989906289,800,A,Approve,5.00%
CUST000020,-0.412314653,-0.885761108,670,0,0.2228171919,794,A,Approve,5.00%
CUST000021,-0.412314653,0.5749750929,730,0,0.1647278882,809,A,Approve,5.00%
CUST000022,-0.412314653,0.8204079998,734,0,0.1626556294,809,A,Approve,5.00%
CUST000023,-0.412314653,0.2694851844,721,0,0.1694678919,808,A,Approve,5.00%
CUST000024,1.016144922,-0.255651431,648,0,0.2605277365,785,A,Approve,5.00%
CUST000025,-0.412314653,-0.657938384,642,1,0.3599219777,760,A,Approve,5.00%
CUST000026,-0.412314653,-0.66938367,716,1,0.1721478084,807,A,Approve,5.00%
CUST000027,-0.412314653,-1.690523458,655,0,0.1198997886,820,A,Approve,5.00%
CUST000031,-0.412314653,0.2086302467,662,0,0.2281038835,793,A,Approve,5.00%
CUST000033,1.7303747095,-1.095109556,535,0,0.4084629053,748,B,Approve,7.00%
CUST000035,1.7303747095,-0.976660954,660,0,0.2477808208,788,A,Approve,5.00%
CUST000036,-0.412314653,1.178157522,670,1,0.1983881096,800,A,Approve,5.00%
CUST000037,-0.412314653,-1.09014929,692,1,0.0927527873,827,A,Approve,5.00%
CUST000038,-0.412314653,-1.474911589,738,0,0.0791057906,830,A,Approve,5.00%
CUST000039,0.3019151345,-0.956704606,627,1,0.2805142451,780,A,Approve,5.00%
CUST000040,-0.412314653,-0.109890854,770,0,0.1449416904,814,A,Approve,5.00%
CUST000041,-0.412314653,2.0158228294,714,0,0.1732291351,807,A,Approve,5.00%
CUST000042,0.3019151345,0.6680545881,642,0,0.2692014129,783,A,Approve,5.00%
CUST000044,-0.412314653,-0.724304407,739,0,0.1600949061,810,A,Approve,5.00%
CUST000045,1.016144922,1.101555029,683,0,0.2358296455,791,A,Approve,5.00%
CUST000046,-0.412314653,-0.619154421,667,0,0.2001997907,800,A,Approve,5.00%
CUST000047,3.1588342845,1.9755681075,464,0,0.4340480788,741,B,Approve,7.00%
CUST000051,-0.412314653,-0.933090216,701,0,0.1803888323,805,A,Approve,5.00%
CUST000053,1.016144922,0.3218953988,625,0,0.3080799388,773,A,Approve,5.00%
CUST000055,-0.412314653,-1.201887951,776,0,0.0692436659,833,A,Approve,5.00%
CUST000057,-0.412314653,0.1796749962,696,0,0.1832033542,804,A,Approve,5.00%
CUST000059,-0.412314653,-0.809960005,684,0,0.1900968892,802,A,Approve,5.00%
CUST000061,-0.412314653,0.1621728385,757,0,0.1511459817,812,A,Approve,5.00%
CUST000063,-0.412314653,-0.449837639,715,0,0.1726878021,807,A,Approve,5.00%
CUST000064,-0.412314653,-1.008527143,679,0,0.0969764758,826,A,Approve,5.00%
CUST000066,-0.412314653,1.1871013995,705,0,0.178161583,805,A,Approve,5.00%
CUST000068,-0.412314653,-1.350161684,722,0,0.0956143033,826,A,Approve,5.00%
CUST000069,-0.412314653,0.0445351486,725,0,0.1673479511,808,A,Approve,5.00%
CUST000070,-0.412314653,0.2328947988,664,0,0.2020238465,799,A,Approve,5.00%
CUST000072,1.7303747095,-1.142688871,589,0,0.1830920178,804,A,Approve,5.00%
CUST000073,-0.412314653,-1.278860448,734,0,0.1796730467,805,A,Approve,5.00%
